key,old_split,new_split,video_id,artist,title,song_id,mood,lyrics_ok,folder
exciting_146,train,test,exciting_146,Pramod Kharel,Jhuma Jhuma,pramod kharel::jhuma jhuma,exciting,1,Dataset1/DS1_TRAIN_MATCH/
exciting_147,train,test,exciting_147,Surya Khadka,Naina Resham (feat. Durga Sapkota),surya khadka::naina resham (feat. durga sapkota),exciting,0,Dataset1/DS1_TRAIN_MATCH/
exciting_158,val,test,exciting_158,Abeeral Thapa,Maya Oi Oi Oi,abeeral thapa::maya oi oi oi,exciting,0,Dataset1/DS1_VAL_MATCH/
exciting_189,train,test,exciting_189,PADAM RAI,Pachhi Pachhi,padam rai::pachhi pachhi,exciting,0,Dataset1/DS1_TRAIN_MATCH/
exciting_190,val,test,exciting_190,B.B. Anuragee,Oye Syani,b.b. anuragee::oye syani,exciting,0,Dataset1/DS1_VAL_MATCH/
exciting_DEAP_DBW_RELX(49),train,test,exciting_DEAP_DBW_RELX(49),4 Strings,Let It Rain,4 strings::let it rain,exciting,0,Dataset1/DS1_TRAIN_MATCH/
exciting_Exciting_MV_NC04,val,test,exciting_Exciting_MV_NC04,Promise Land,Push the Feeling On,promise land::push the feeling on,exciting,0,Dataset1/DS1_VAL_MATCH/
exciting_Exciting_MV_NC2(37)-4-of-6,train,test,exciting_Exciting_MV_NC2(37),Rudimental,Feel the Love (feat. John Newman) [Extended Mix],rudimental::feel the love (feat. john newman) [extended mix],exciting,1,Dataset1/DS1_TRAIN_MATCH/
exciting_Exciting_MV_NC2(86)-2-of-7,train,test,exciting_Exciting_MV_NC2(86),Gregori Klosman,Come On,gregori klosman::come on,exciting,0,Dataset1/DS1_TRAIN_MATCH/
exciting_Exciting_MV_NC3(16)-5-of-7,val,test,exciting_Exciting_MV_NC3(16),Leetstreet Boys,Leetstreet Dansen,leetstreet boys::leetstreet dansen,exciting,1,Dataset1/DS1_VAL_MATCH/
exciting_Exciting_MV_NC3(7)-7-of-8,train,test,exciting_Exciting_MV_NC3(7),Kalifah AgaNaga,Wanika Omukono,kalifah aganaga::wanika omukono,exciting,0,Dataset1/DS1_TRAIN_MATCH/
exciting_Ext_FINAL_DL(11),train,test,exciting_Ext_FINAL_DL(11),Shawn Mendes,Stitches,shawn mendes::stitches,exciting,1,Dataset1/DS1_TRAIN_MATCH/
exciting_Ext_FINAL_DL(15),train,test,exciting_Ext_FINAL_DL(15),Ed Sheeran,Thinking out Loud,ed sheeran::thinking out loud,exciting,1,Dataset1/DS1_TRAIN_MATCH/
exciting_HAPPY_HEA(148)-7-of-8,train,test,exciting_HAPPY_HEA(148),Britt Nicole,All This Time,britt nicole::all this time,exciting,1,Dataset1/DS1_TRAIN_MATCH/
exciting_HAPPY_HEA(171)-6-of-8,train,test,exciting_HAPPY_HEA(171),Math MC,Mosaico,math mc::mosaico,exciting,0,Dataset1/DS1_TRAIN_MATCH/
exciting_HPY_EXT_LLT(7),val,test,exciting_HPY_EXT_LLT(7),I.Z.,Baby Im Your Man,i.z.::baby im your man,exciting,0,Dataset1/DS1_VAL_MATCH/
exciting_ORG_EXT(127),train,test,exciting_ORG_EXT(127),Girls' Generation,Oh!,girls' generation::oh!,exciting,1,Dataset1/DS1_TRAIN_MATCH/
exciting_ORG_EXT(132),train,test,exciting_ORG_EXT(132),Girls' Generation,Lion Heart,girls' generation::lion heart,exciting,1,Dataset1/DS1_TRAIN_MATCH/
